cluster_id|norma
112|RDC 26/2014
74|RDC 26/2015
63|RDC 274/2002
123|RDC 275/2002
147|RDC 275/2003
145|RDC 276/2002
74|RDC 276/2003
120|RDC 278/2002
74|RDC 278/2005
74|RDC 27/2004
147|RDC 27/2006
83|RDC 27/2007
115|RDC 27/2008
74|RDC 27/2010
146|RDC 27/2015
146|RDC 280/2002
85|RDC 280/2004
74|RDC 286/2005
115|RDC 287/2005
123|RDC 28/2000
102|RDC 28/2002
120|RDC 28/2007
110|RDC 28/2008
74|RDC 28/2009
147|RDC 296/2005
120|RDC 298/2002
147|RDC 29/2000
147|RDC 29/2007
51|RDC 29/2008
147|RDC 29/2010
145|RDC 29/2013
143|RDC 300/2004
120|RDC 301/2005
74|RDC 302/2002
105|RDC 302/2004
74|RDC 303/2002
46|RDC 308/2002
114|RDC 30/2006
115|RDC 30/2007
147|RDC 30/2008
145|RDC 30/2010
147|RDC 30/2011
147|RDC 30/2015
168|RDC 310/2005
64|RDC 313/2004
105|RDC 314/2004
120|RDC 315/2005
105|RDC 316/2004
127|RDC 31/2001
147|RDC 31/2008
113|RDC 31/2011
147|RDC 31/2012
120|RDC 31/2014
147|RDC 320/2002
24|RDC 321/2003
117|RDC 324/2003
115|RDC 326/2005
132|RDC 32/2002
79|RDC 32/2003
99|RDC 32/2007
111|RDC 32/2008
115|RDC 32/2013
85|RDC 32/2015
147|RDC 331/2002
120|RDC 333/2003
147|RDC 337/2005
123|RDC 33/2000
145|RDC 33/2007
123|RDC 33/2008
113|RDC 33/2010
123|RDC 33/2014
64|RDC 344/2002
147|RDC 344/2003
109|RDC 346/2002
145|RDC 346/2005
90|RDC 347/2002
74|RDC 348/2003
105|RDC 349/2003
147|RDC 349/2005
147|RDC 34/2000
118|RDC 34/2008
115|RDC 34/2010
123|RDC 34/2015
110|RDC 350/2005
120|RDC 351/2005
147|RDC 354/2002
120|RDC 354/2003
74|RDC 359/2003
57|RDC 35/2001
147|RDC 35/2002
123|RDC 35/2003
147|RDC 35/2007
113|RDC 35/2008
115|RDC 35/2010
120|RDC 35/2012
35|RDC 35/2014
74|RDC 360/2003
147|RDC 36/2007
57|RDC 36/2008
115|RDC 36/2009
118|RDC 36/2012
115|RDC 36/2015
127|RDC 37/2000
115|RDC 37/2007
113|RDC 37/2008
118|RDC 37/2013
115|RDC 38/2000
115|RDC 38/2001
147|RDC 38/2007
147|RDC 38/2011
120|RDC 38/2014
74|RDC 39/2001
118|RDC 39/2008
115|RDC 39/2010
147|RDC 39/2013
145|RDC 39/2014
147|RDC 39/2015
74|RDC 40/2001
74|RDC 40/2002
120|RDC 40/2003
146|RDC 40/2007
115|RDC 40/2008
115|RDC 40/2015
118|RDC 41/2000
120|RDC 41/2003
146|RDC 41/2007
85|RDC 41/2008
74|RDC 41/2009
147|RDC 41/2011
146|RDC 41/2014
110|RDC 41/2015
146|RDC 42/2007
120|RDC 42/2009
71|RDC 42/2011
89|RDC 42/2013
145|RDC 42/2014
110|RDC 42/2015
74|RDC 43/2005
161|RDC 43/2006
146|RDC 43/2007
147|RDC 43/2009
71|RDC 43/2011
161|RDC 44/2006
